number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_lr,params_window_size,user_attrs_group,user_attrs_model,user_attrs_timestamp,state
0,0.025952266,00:52.3,09:27.3,0 days 00:08:34.972861,128,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_210052,COMPLETE
1,0.018401597,09:27.3,19:59.8,0 days 00:10:32.531813,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_210927,COMPLETE
2,0.020554335,19:59.8,27:04.8,0 days 00:07:04.989860,128,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_211959,COMPLETE
3,0.017796294,27:04.8,34:30.4,0 days 00:07:25.586065,128,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_212704,COMPLETE
4,0.656913283,34:30.4,39:54.4,0 days 00:05:24.027061,32,128,0.01,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_213430,COMPLETE
5,1.028368257,39:54.4,45:15.8,0 days 00:05:21.350308,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_213954,COMPLETE
6,0.17858786,45:15.8,56:50.5,0 days 00:11:34.751404,64,128,0.0001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_214515,COMPLETE
7,0.22886192,56:50.5,03:00.0,0 days 00:06:09.456400,32,128,0.01,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_215650,COMPLETE
8,0.232305409,03:00.0,07:31.8,0 days 00:04:31.776940,128,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_220259,COMPLETE
9,0.974956904,07:31.8,15:50.1,0 days 00:08:18.352744,16,128,0.01,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_220731,COMPLETE
10,0.092760807,15:50.1,27:27.2,0 days 00:11:37.102027,64,256,0.0001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_221550,COMPLETE
11,0.012713946,27:27.2,37:57.1,0 days 00:10:29.896562,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_222727,COMPLETE
12,0.020178612,37:57.1,48:06.8,0 days 00:10:09.656371,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_223757,COMPLETE
13,0.024546338,48:06.8,58:53.7,0 days 00:10:46.890962,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_224806,COMPLETE
14,0.037160543,58:53.7,07:05.1,0 days 00:08:11.412431,128,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_225853,COMPLETE
15,0.038052357,07:05.1,15:36.7,0 days 00:08:31.560383,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_230705,COMPLETE
16,0.02142116,15:36.7,27:29.7,0 days 00:11:53.065590,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_231536,COMPLETE
17,0.098382028,27:29.7,36:46.3,0 days 00:09:16.560897,128,256,0.0001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_232729,COMPLETE
18,0.010165874,36:46.3,44:35.1,0 days 00:07:48.801941,64,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_233646,COMPLETE
19,0.026034699,44:35.1,52:16.0,0 days 00:07:40.912131,64,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_234435,COMPLETE
20,0.075055663,52:16.0,04:19.5,0 days 00:12:03.542366,64,256,0.0001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250213_235215,COMPLETE
21,0.021028408,04:19.5,12:24.7,0 days 00:08:05.136869,64,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_000419,COMPLETE
22,0.019896832,12:24.7,19:00.4,0 days 00:06:35.681416,128,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_001224,COMPLETE
23,0.02550229,19:00.4,26:55.8,0 days 00:07:55.486934,64,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_001900,COMPLETE
24,0.029542351,26:55.8,38:41.9,0 days 00:11:46.012946,16,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_002655,COMPLETE
25,0.027577059,38:41.9,45:54.6,0 days 00:07:12.693274,64,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_003841,COMPLETE
26,0.028764011,45:54.6,52:47.4,0 days 00:06:52.881640,128,256,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_004554,COMPLETE
27,0.020173089,52:47.4,02:59.0,0 days 00:10:11.607087,16,256,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_005247,COMPLETE
28,0.028116088,02:59.0,29:54.5,0 days 00:26:55.435174,16,256,0.0001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_010259,COMPLETE
29,0.022909978,29:54.5,36:26.2,0 days 00:06:31.722952,128,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_012954,COMPLETE
30,0.021743594,36:26.2,43:34.4,0 days 00:07:08.214134,64,256,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_013626,COMPLETE
31,0.016744394,43:34.4,53:10.3,0 days 00:09:35.901429,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_014334,COMPLETE
32,0.025481327,53:10.3,01:59.0,0 days 00:08:48.713441,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_015310,COMPLETE
33,0.017251997,01:59.0,11:01.5,0 days 00:09:02.482283,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_020159,COMPLETE
34,0.0094635,11:01.5,20:41.4,0 days 00:09:39.880183,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_021101,COMPLETE
35,0.027429625,20:41.4,30:08.3,0 days 00:09:26.926007,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_022041,COMPLETE
36,0.017720356,30:08.3,39:21.5,0 days 00:09:13.195962,32,256,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_023008,COMPLETE
37,0.012304129,39:21.5,50:55.0,0 days 00:11:33.446832,32,128,0.001,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_023921,COMPLETE
38,0.673186962,50:55.0,56:29.1,0 days 00:05:34.169399,32,128,0.01,10,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_025054,COMPLETE
39,0.011956963,56:29.1,08:18.4,0 days 00:11:49.298119,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_025629,COMPLETE
40,0.621881024,08:18.4,14:14.4,0 days 00:05:55.921563,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_030818,COMPLETE
41,0.010493332,14:14.4,24:42.9,0 days 00:10:28.510239,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_031414,COMPLETE
42,0.019188423,24:42.9,36:45.7,0 days 00:12:02.828130,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_032442,COMPLETE
43,0.013927617,36:45.7,45:51.8,0 days 00:09:06.083885,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_033645,COMPLETE
44,0.009795883,45:51.8,57:36.1,0 days 00:11:44.291823,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_034551,COMPLETE
45,0.017550868,57:36.1,07:24.9,0 days 00:09:48.821853,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_035736,COMPLETE
46,0.085458754,07:24.9,25:08.8,0 days 00:17:43.938814,32,128,0.0001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_040724,COMPLETE
47,0.476837646,25:08.8,30:47.6,0 days 00:05:38.735036,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_042508,COMPLETE
48,0.018934692,30:47.6,41:56.0,0 days 00:11:08.409337,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_043047,COMPLETE
49,0.023230995,41:56.0,53:06.4,0 days 00:11:10.450846,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_044155,COMPLETE
50,0.009818674,53:06.4,05:09.2,0 days 00:12:02.732654,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_045306,COMPLETE
51,0.023205822,05:09.2,16:43.3,0 days 00:11:34.158326,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_050509,COMPLETE
52,0.016625384,16:43.3,27:47.7,0 days 00:11:04.347844,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_051643,COMPLETE
53,0.021178804,27:47.7,37:57.0,0 days 00:10:09.308111,32,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_052747,COMPLETE
54,0.011163529,37:57.0,47:14.0,0 days 00:09:17.055349,32,128,0.001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_053756,COMPLETE
55,0.020134992,47:14.0,56:49.5,0 days 00:09:35.459338,64,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_054714,COMPLETE
56,0.148256599,56:49.5,14:46.9,0 days 00:17:57.373193,32,128,0.0001,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_055649,COMPLETE
57,0.02227674,14:46.9,23:12.5,0 days 00:08:25.607414,64,128,0.001,5,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_061446,COMPLETE
58,0.678290572,23:12.5,28:47.3,0 days 00:05:34.851244,32,128,0.01,30,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_062312,COMPLETE
59,0.009575118,28:47.3,40:15.6,0 days 00:11:28.279371,32,128,0.001,20,"['Group 2_air gasification', 'Group 3_steam gasification', 'Group 4_CO2 gasification', 'Group 5_O2steam gasification']",rnn,20250214_062847,COMPLETE
